date,county,fips,doses_administered,new_doses_administered
2/20/2021,Santa Clara,85,361109,11044
2/20/2021,Santa Cruz,87,64805,2553
2/20/2021,Shasta,89,24278,725
2/20/2021,Sierra,91,920,30
2/20/2021,Siskiyou,93,8675,96
2/20/2021,Solano,95,75570,2096
2/20/2021,Sonoma,97,114359,5166
2/20/2021,Stanislaus,99,79407,2884
2/20/2021,Sutter,101,15767,676
2/20/2021,Tehama,103,7328,216
2/20/2021,Trinity,105,1439,133
2/20/2021,Tulare,107,53675,1745
2/20/2021,Tuolumne,109,11152,369
2/20/2021,Ventura,111,145880,4971
2/20/2021,Yolo,113,42809,1103
2/20/2021,Yuba,115,7772,300
2/19/2021,Alameda,1,296693,13115
2/19/2021,Alpine,3,389,1
2/19/2021,Amador,5,7029,265
2/19/2021,Butte,7,45809,1215
2/19/2021,Calaveras,9,8640,439
2/19/2021,Colusa,11,2438,184
2/19/2021,Contra Costa,13,246784,10011
2/19/2021,Del Norte,15,2954,60
2/19/2021,El Dorado,17,34204,1098
2/19/2021,Fresno,19,148620,7233
2/19/2021,Glenn,21,4158,244
2/19/2021,Humboldt,23,24212,424
2/19/2021,Imperial,25,19393,446
2/19/2021,Inyo,27,2705,58
2/19/2021,Kern,29,97426,4329
2/19/2021,Kings,31,10865,288
2/19/2021,Lake,33,10011,216
2/19/2021,Lassen,35,3243,125
2/19/2021,Los Angeles,37,1715700,57022
2/19/2021,Madera,39,19009,519
2/19/2021,Marin,41,64590,1203
2/19/2021,Mariposa,43,1205,15
2/19/2021,Mendocino,45,21557,1535
2/19/2021,Merced,47,26920,2122
2/19/2021,Modoc,49,1796,170
2/19/2021,Mono,51,7285,0
2/19/2021,Monterey,53,53795,1655
2/19/2021,Napa,55,36311,748
2/19/2021,Nevada,57,18205,837
2/19/2021,Orange,59,592688,15219
2/19/2021,Placer,61,88830,3143
2/19/2021,Plumas,63,2337,91
2/19/2021,Riverside,65,352181,9465
2/19/2021,Sacramento,67,232583,7440
2/19/2021,San Benito,69,6761,290
2/19/2021,San Bernardino,71,286778,9827
2/19/2021,San Diego,73,674653,22155
2/19/2021,San Francisco,75,173230,5015
2/19/2021,San Joaquin,77,91784,3133
2/19/2021,San Luis Obispo,79,49628,2254
2/19/2021,San Mateo,81,161562,3494
2/19/2021,Santa Barbara,83,72109,2967
2/19/2021,Santa Clara,85,350065,11551
2/19/2021,Santa Cruz,87,62252,2964
2/19/2021,Shasta,89,23553,668
2/19/2021,Sierra,91,890,97
2/19/2021,Siskiyou,93,8579,389
2/19/2021,Solano,95,73474,2059
2/19/2021,Sonoma,97,109193,4728
2/19/2021,Stanislaus,99,76523,2796
2/19/2021,Sutter,101,15091,504
2/19/2021,Tehama,103,7112,257
2/19/2021,Trinity,105,1306,0
2/19/2021,Tulare,107,51930,2867
2/19/2021,Tuolumne,109,10783,488
2/19/2021,Ventura,111,140909,4553
2/19/2021,Yolo,113,41706,1740
2/19/2021,Yuba,115,7472,266
2/18/2021,Alameda,1,283578,14844
2/18/2021,Alpine,3,388,23
2/18/2021,Amador,5,6764,344
